xVariable,yVariable,marginalTaxRate,classification,xAxisLabel,yStart,countA,,,
0,0,0,1920,,,1,,,
500,500,0,1920,,,1,,,
1000,1000,0,1920,,,1,,,
1500,1500,0,1920,,,1,,,
2000,2000,0,1920,,,1,,,
2500,2500,0,1920,,,1,,,
3000,3000,0,1920,,,1,,,
3500,3500,0,1920,,,1,,,
4000,4000,0,1920,,,1,,,
4500,4500,0,1920,,,1,,,
5000,5000,0,1920,,,1,,,
5500,5500,0,1920,,,1,,,
6000,6000,0,1920,,,1,,,
6500,6500,0,1920,,,1,,,
7000,7000,0,1920,,,1,,,
7500,7500,0,1920,,,1,,,
8000,8000,0,1920,,,1,,,
8500,8500,0,1920,,,1,,,
8632,8632,0,1920,,,1,,,
9000,9000,0,1920,,,1,,,
9500,9500,0,1920,,,1,,,
10000,10000,0,1920,,,1,,,
10500,10500,0,1920,,,1,,,
11000,11000,0,1920,,,1,,,
11500,11500,0,1920,,,1,,,
12000,12000,0,1920,,,1,,,
12500,12500,0,1920,,,1,,,
12500,12500,0.2,1920,,,2,,,
13000,12900,0.2,1920,,,1,,,
13500,13300,0.2,1920,,,1,,,
14000,13700,0.2,1920,,,1,,,
14500,14100,0.2,1920,,,1,,,
15000,14500,0.2,1920,,,1,,,
15500,14900,0.2,1920,,,1,,,
16000,15300,0.2,1920,,,1,,,
16500,15700,0.2,1920,,,1,,,
17000,16100,0.2,1920,,,1,,,
17500,16500,0.2,1920,,,1,,,
18000,16900,0.2,1920,,,1,,,
18500,17300,0.2,1920,,,1,,,
19000,17700,0.2,1920,,,1,,,
19500,18100,0.2,1920,,,1,,,
20000,18500,0.2,1920,,,1,,,
20500,18900,0.2,1920,,,1,,,
21000,19300,0.2,1920,,,1,,,
21500,19700,0.2,1920,,,1,,,
22000,20100,0.2,1920,,,1,,,
22500,20500,0.2,1920,,,1,,,
23000,20900,0.2,1920,,,1,,,
23500,21300,0.2,1920,,,1,,,
24000,21700,0.2,1920,,,1,,,
24500,22100,0.2,1920,,,1,,,
25000,22500,0.2,1920,,,1,,,
25500,22900,0.2,1920,,,1,,,
26000,23300,0.2,1920,,,1,,,
26500,23700,0.2,1920,,,1,,,
27000,24100,0.2,1920,,,1,,,
27500,24500,0.2,1920,,,1,,,
28000,24900,0.2,1920,,,1,,,
28500,25300,0.2,1920,,,1,,,
29000,25700,0.2,1920,,,1,,,
29500,26100,0.2,1920,,,1,,,
30000,26500,0.2,1920,,,1,,,
30500,26900,0.2,1920,,,1,,,
31000,27300,0.2,1920,,,1,,,
31500,27700,0.2,1920,,,1,,,
32000,28100,0.2,1920,,,1,,,
32500,28500,0.2,1920,,,1,,,
33000,28900,0.2,1920,,,1,,,
33500,29300,0.2,1920,,,1,,,
34000,29700,0.2,1920,,,1,,,
34500,30100,0.2,1920,,,1,,,
35000,30500,0.2,1920,,,1,,,
35500,30900,0.2,1920,,,1,,,
36000,31300,0.2,1920,,,1,,,
36500,31700,0.2,1920,,,1,,,
37000,32100,0.2,1920,,,1,,,
37500,32500,0.2,1920,,,1,,,
38000,32900,0.2,1920,,,1,,,
38500,33300,0.2,1920,,,1,,,
39000,33700,0.2,1920,,,1,,,
39500,34100,0.2,1920,,,1,,,
40000,34500,0.2,1920,,,1,,,
40500,34900,0.2,1920,,,1,,,
41000,35300,0.2,1920,,,1,,,
41500,35700,0.2,1920,,,1,,,
42000,36100,0.2,1920,,,1,,,
42500,36500,0.2,1920,,,1,,,
43000,36900,0.2,1920,,,1,,,
43500,37300,0.2,1920,,,1,,,
44000,37700,0.2,1920,,,1,,,
44500,38100,0.2,1920,,,1,,,
45000,38500,0.2,1920,,,1,,,
45500,38900,0.2,1920,,,1,,,
46000,39300,0.2,1920,,,1,,,
46500,39700,0.2,1920,,,1,,,
47000,40100,0.2,1920,,,1,,,
47500,40500,0.2,1920,,,1,,,
48000,40900,0.2,1920,,,1,,,
48500,41300,0.2,1920,,,1,,,
49000,41700,0.2,1920,,,1,,,
49500,42100,0.2,1920,,,1,,,
50000,42500,0.2,1920,,,1,,,
50000,42500,0.4,1920,,,2,,,
50500,42800,0.4,1920,,,1,,,
51000,43100,0.4,1920,,,1,,,
51500,43400,0.4,1920,,,1,,,
52000,43700,0.4,1920,,,1,,,
52500,44000,0.4,1920,,,1,,,
53000,44300,0.4,1920,,,1,,,
53500,44600,0.4,1920,,,1,,,
54000,44900,0.4,1920,,,1,,,
54500,45200,0.4,1920,,,1,,,
55000,45500,0.4,1920,,,1,,,
55500,45800,0.4,1920,,,1,,,
56000,46100,0.4,1920,,,1,,,
56500,46400,0.4,1920,,,1,,,
57000,46700,0.4,1920,,,1,,,
57500,47000,0.4,1920,,,1,,,
58000,47300,0.4,1920,,,1,,,
58500,47600,0.4,1920,,,1,,,
59000,47900,0.4,1920,,,1,,,
59500,48200,0.4,1920,,,1,,,
60000,48500,0.4,1920,,,1,,,
60500,48800,0.4,1920,,,1,,,
61000,49100,0.4,1920,,,1,,,
61500,49400,0.4,1920,,,1,,,
62000,49700,0.4,1920,,,1,,,
62500,50000,0.4,1920,,,1,,,
63000,50300,0.4,1920,,,1,,,
63500,50600,0.4,1920,,,1,,,
64000,50900,0.4,1920,,,1,,,
64500,51200,0.4,1920,,,1,,,
65000,51500,0.4,1920,,,1,,,
65500,51800,0.4,1920,,,1,,,
66000,52100,0.4,1920,,,1,,,
66500,52400,0.4,1920,,,1,,,
67000,52700,0.4,1920,,,1,,,
67500,53000,0.4,1920,,,1,,,
68000,53300,0.4,1920,,,1,,,
68500,53600,0.4,1920,,,1,,,
69000,53900,0.4,1920,,,1,,,
69500,54200,0.4,1920,,,1,,,
70000,54500,0.4,1920,,,1,,,
70500,54800,0.4,1920,,,1,,,
71000,55100,0.4,1920,,,1,,,
71500,55400,0.4,1920,,,1,,,
72000,55700,0.4,1920,,,1,,,
72500,56000,0.4,1920,,,1,,,
73000,56300,0.4,1920,,,1,,,
73500,56600,0.4,1920,,,1,,,
74000,56900,0.4,1920,,,1,,,
74500,57200,0.4,1920,,,1,,,
75000,57500,0.4,1920,,,1,,,
75500,57800,0.4,1920,,,1,,,
76000,58100,0.4,1920,,,1,,,
76500,58400,0.4,1920,,,1,,,
77000,58700,0.4,1920,,,1,,,
77500,59000,0.4,1920,,,1,,,
78000,59300,0.4,1920,,,1,,,
78500,59600,0.4,1920,,,1,,,
79000,59900,0.4,1920,,,1,,,
79500,60200,0.4,1920,,,1,,,
80000,60500,0.4,1920,,,1,,,
80500,60800,0.4,1920,,,1,,,
81000,61100,0.4,1920,,,1,,,
81500,61400,0.4,1920,,,1,,,
82000,61700,0.4,1920,,,1,,,
82500,62000,0.4,1920,,,1,,,
83000,62300,0.4,1920,,,1,,,
83500,62600,0.4,1920,,,1,,,
84000,62900,0.4,1920,,,1,,,
84500,63200,0.4,1920,,,1,,,
85000,63500,0.4,1920,,,1,,,
85500,63800,0.4,1920,,,1,,,
86000,64100,0.4,1920,,,1,,,
86500,64400,0.4,1920,,,1,,,
87000,64700,0.4,1920,,,1,,,
87500,65000,0.4,1920,,,1,,,
88000,65300,0.4,1920,,,1,,,
88500,65600,0.4,1920,,,1,,,
89000,65900,0.4,1920,,,1,,,
89500,66200,0.4,1920,,,1,,,
90000,66500,0.4,1920,,,1,,,
90500,66800,0.4,1920,,,1,,,
91000,67100,0.4,1920,,,1,,,
91500,67400,0.4,1920,,,1,,,
92000,67700,0.4,1920,,,1,,,
92500,68000,0.4,1920,,,1,,,
93000,68300,0.4,1920,,,1,,,
93500,68600,0.4,1920,,,1,,,
94000,68900,0.4,1920,,,1,,,
94500,69200,0.4,1920,,,1,,,
95000,69500,0.4,1920,,,1,,,
95500,69800,0.4,1920,,,1,,,
96000,70100,0.4,1920,,,1,,,
96500,70400,0.4,1920,,,1,,,
97000,70700,0.4,1920,,,1,,,
97500,71000,0.4,1920,,,1,,,
98000,71300,0.4,1920,,,1,,,
98500,71600,0.4,1920,,,1,,,
99000,71900,0.4,1920,,,1,,,
99500,72200,0.4,1920,,,1,,,
100000,72500,0.4,1920,,,1,,,
100000,72500,0.6,1920,,,2,,,
100500,72700,0.6,1920,,,1,,,
101000,72900,0.6,1920,,,1,,,
101500,73100,0.6,1920,,,1,,,
102000,73300,0.6,1920,,,1,,,
102500,73500,0.6,1920,,,1,,,
103000,73700,0.6,1920,,,1,,,
103500,73900,0.6,1920,,,1,,,
104000,74100,0.6,1920,,,1,,,
104500,74300,0.6,1920,,,1,,,
105000,74500,0.6,1920,,,1,,,
105500,74700,0.6,1920,,,1,,,
106000,74900,0.6,1920,,,1,,,
106500,75100,0.6,1920,,,1,,,
107000,75300,0.6,1920,,,1,,,
107500,75500,0.6,1920,,,1,,,
108000,75700,0.6,1920,,,1,,,
108500,75900,0.6,1920,,,1,,,
109000,76100,0.6,1920,,,1,,,
109500,76300,0.6,1920,,,1,,,
110000,76500,0.6,1920,,,1,,,
110500,76700,0.6,1920,,,1,,,
111000,76900,0.6,1920,,,1,,,
111500,77100,0.6,1920,,,1,,,
112000,77300,0.6,1920,,,1,,,
112500,77500,0.6,1920,,,1,,,
113000,77700,0.6,1920,,,1,,,
113500,77900,0.6,1920,,,1,,,
114000,78100,0.6,1920,,,1,,,
114500,78300,0.6,1920,,,1,,,
115000,78500,0.6,1920,,,1,,,
115500,78700,0.6,1920,,,1,,,
116000,78900,0.6,1920,,,1,,,
116500,79100,0.6,1920,,,1,,,
117000,79300,0.6,1920,,,1,,,
117500,79500,0.6,1920,,,1,,,
118000,79700,0.6,1920,,,1,,,
118500,79900,0.6,1920,,,1,,,
119000,80100,0.6,1920,,,1,,,
