xVariable,yVariable,classification,xAxisLabel,yStart,marginalTaxRate,countA
0,0,PlotData,,,0,1
500,500,PlotData,,,0,1
1000,1000,PlotData,,,0,1
1500,1500,PlotData,,,0,1
2000,2000,PlotData,,,0,1
2500,2500,PlotData,,,0,1
3000,3000,PlotData,,,0,1
3500,3500,PlotData,,,0,1
4000,4000,PlotData,,,0,1
4500,4500,PlotData,,,0,1
5000,5000,PlotData,,,0,1
5500,5500,PlotData,,,0,1
6000,6000,PlotData,,,0,1
6500,6500,PlotData,,,0,1
7000,7000,PlotData,,,0,1
7500,7500,PlotData,,,0,1
8000,8000,PlotData,,,0,1
8500,8500,PlotData,,,0,1
9000,9000,PlotData,,,0,1
9500,9500,PlotData,,,0,1
10000,10000,PlotData,,,0,1
10500,10500,PlotData,,,0,1
11000,11000,PlotData,,,0,1
11500,11500,PlotData,,,0,1
12000,12000,PlotData,,,0,1
12500,12500,PlotData,,,0,1
12500,12500,PlotData,,,0.2,2
13000,12900,PlotData,,,0.2,1
13500,13300,PlotData,,,0.2,1
14000,13700,PlotData,,,0.2,1
14500,14100,PlotData,,,0.2,1
15000,14500,PlotData,,,0.2,1
15500,14900,PlotData,,,0.2,1
16000,15300,PlotData,,,0.2,1
16500,15700,PlotData,,,0.2,1
17000,16100,PlotData,,,0.2,1
17500,16500,PlotData,,,0.2,1
18000,16900,PlotData,,,0.2,1
18500,17300,PlotData,,,0.2,1
19000,17700,PlotData,,,0.2,1
19500,18100,PlotData,,,0.2,1
20000,18500,PlotData,,,0.2,1
20500,18900,PlotData,,,0.2,1
21000,19300,PlotData,,,0.2,1
21500,19700,PlotData,,,0.2,1
22000,20100,PlotData,,,0.2,1
22500,20500,PlotData,,,0.2,1
23000,20900,PlotData,,,0.2,1
23500,21300,PlotData,,,0.2,1
24000,21700,PlotData,,,0.2,1
24500,22100,PlotData,,,0.2,1
25000,22500,PlotData,,,0.2,1
25500,22900,PlotData,,,0.2,1
26000,23300,PlotData,,,0.2,1
26500,23700,PlotData,,,0.2,1
27000,24100,PlotData,,,0.2,1
27500,24500,PlotData,,,0.2,1
28000,24900,PlotData,,,0.2,1
28500,25300,PlotData,,,0.2,1
29000,25700,PlotData,,,0.2,1
29500,26100,PlotData,,,0.2,1
30000,26500,PlotData,,,0.2,1
30500,26900,PlotData,,,0.2,1
31000,27300,PlotData,,,0.2,1
31500,27700,PlotData,,,0.2,1
32000,28100,PlotData,,,0.2,1
32500,28500,PlotData,,,0.2,1
33000,28900,PlotData,,,0.2,1
33500,29300,PlotData,,,0.2,1
34000,29700,PlotData,,,0.2,1
34500,30100,PlotData,,,0.2,1
35000,30500,PlotData,,,0.2,1
35500,30900,PlotData,,,0.2,1
36000,31300,PlotData,,,0.2,1
36500,31700,PlotData,,,0.2,1
37000,32100,PlotData,,,0.2,1
37500,32500,PlotData,,,0.2,1
38000,32900,PlotData,,,0.2,1
38500,33300,PlotData,,,0.2,1
39000,33700,PlotData,,,0.2,1
39500,34100,PlotData,,,0.2,1
40000,34500,PlotData,,,0.2,1
40500,34900,PlotData,,,0.2,1
41000,35300,PlotData,,,0.2,1
41500,35700,PlotData,,,0.2,1
42000,36100,PlotData,,,0.2,1
42500,36500,PlotData,,,0.2,1
43000,36900,PlotData,,,0.2,1
43500,37300,PlotData,,,0.2,1
44000,37700,PlotData,,,0.2,1
44500,38100,PlotData,,,0.2,1
45000,38500,PlotData,,,0.2,1
