xVariable,yVariable,classification,xAxisLabel,yStart,wageRiseAdjusted
1,11000,HMRC,,,12078
2,11200,HMRC,,,12298
3,11500,HMRC,,,12627
4,11700,HMRC,,,12847
5,11900,HMRC,,,13066
6,12200,HMRC,,,13396
7,12400,HMRC,,,13615
8,12600,HMRC,,,13835
9,12800,HMRC,,,14054
10,13100,HMRC,,,14384
11,13300,HMRC,,,14603
12,13500,HMRC,,,14823
13,13700,HMRC,,,15043
14,13900,HMRC,,,15262
15,14200,HMRC,,,15592
16,14400,HMRC,,,15811
17,14600,HMRC,,,16031
18,14900,HMRC,,,16360
19,15100,HMRC,,,16580
20,15300,HMRC,,,16799
21,15500,HMRC,,,17019
22,15800,HMRC,,,17348
23,16000,HMRC,,,17568
24,16200,HMRC,,,17788
25,16400,HMRC,,,18007
26,16700,HMRC,,,18337
27,16900,HMRC,,,18556
28,17100,HMRC,,,18776
29,17400,HMRC,,,19105
30,17600,HMRC,,,19325
31,17800,HMRC,,,19544
32,18100,HMRC,,,19874
33,18300,HMRC,,,20093
34,18600,HMRC,,,20423
35,18800,HMRC,,,20642
36,19100,HMRC,,,20972
37,19300,HMRC,,,21191
38,19600,HMRC,,,21521
39,19900,HMRC,,,21850
40,20200,HMRC,,,22180
41,20500,HMRC,,,22509
42,20800,HMRC,,,22838
43,21100,HMRC,,,23168
44,21400,HMRC,,,23497
45,21700,HMRC,,,23827
46,22000,HMRC,,,24156
47,22300,HMRC,,,24485
48,22600,HMRC,,,24815
49,22900,HMRC,,,25144
50,23300,HMRC,,,25583
51,23600,HMRC,,,25913
52,23900,HMRC,,,26242
53,24300,HMRC,,,26681
54,24700,HMRC,,,27121
55,25000,HMRC,,,27450
56,25400,HMRC,,,27889
57,25900,HMRC,,,28438
58,26300,HMRC,,,28877
59,26700,HMRC,,,29317
60,27100,HMRC,,,29756
61,27500,HMRC,,,30195
62,27900,HMRC,,,30634
63,28400,HMRC,,,31183
64,28800,HMRC,,,31622
65,29300,HMRC,,,32171
66,29800,HMRC,,,32720
67,30300,HMRC,,,33269
68,30900,HMRC,,,33928
69,31500,HMRC,,,34587
70,32000,HMRC,,,35136
71,32600,HMRC,,,35795
72,33200,HMRC,,,36454
73,33900,HMRC,,,37222
74,34500,HMRC,,,37881
75,35200,HMRC,,,38650
76,36000,HMRC,,,39528
77,36700,HMRC,,,40297
78,37500,HMRC,,,41175
79,38300,HMRC,,,42053
80,39200,HMRC,,,43042
81,40000,HMRC,,,43920
82,41000,HMRC,,,45018
83,42000,HMRC,,,46116
84,42900,HMRC,,,47104
85,43700,HMRC,,,47983
86,44900,HMRC,,,49300
87,46200,HMRC,,,50728
88,47800,HMRC,,,52484
89,49600,HMRC,,,54461
90,51400,HMRC,,,56437
91,53600,HMRC,,,58853
92,56300,HMRC,,,61817
93,59500,HMRC,,,65331
94,63500,HMRC,,,69723
95,68600,HMRC,,,75323
96,75300,HMRC,,,82679
97,83700,HMRC,,,91903
98,96400,HMRC,,,105847
99,116000,HMRC,,,127368
100,166000,HMRC,,,182268
