xVariable,yVariable,classification,xAxisLabel,yStart,wageRiseAdjusted
1,0,WIR,,,0
2,619,WIR,,,680
3,2389,WIR,,,2623
4,3738,WIR,,,4104
5,5006,WIR,,,5497
6,5790,WIR,,,6357
7,6602,WIR,,,7249
8,7427,WIR,,,8155
9,8118,WIR,,,8914
10,8765,WIR,,,9624
11,9421,WIR,,,10344
12,10065,WIR,,,11051
13,10595,WIR,,,11633
14,11080,WIR,,,12166
15,11567,WIR,,,12701
16,12012,WIR,,,13189
17,12412,WIR,,,13628
18,12828,WIR,,,14085
19,13236,WIR,,,14533
20,13632,WIR,,,14968
21,14011,WIR,,,15384
22,14377,WIR,,,15786
23,14752,WIR,,,16198
24,15135,WIR,,,16618
25,15527,WIR,,,17049
26,15872,WIR,,,17427
27,16230,WIR,,,17821
28,16609,WIR,,,18237
29,16986,WIR,,,18651
30,17360,WIR,,,19061
31,17744,WIR,,,19483
32,18123,WIR,,,19899
33,18492,WIR,,,20304
34,18859,WIR,,,20707
35,19212,WIR,,,21095
36,19577,WIR,,,21496
37,19961,WIR,,,21917
38,20334,WIR,,,22327
39,20701,WIR,,,22730
40,21079,WIR,,,23145
41,21452,WIR,,,23554
42,21826,WIR,,,23965
43,22214,WIR,,,24391
44,22588,WIR,,,24802
45,22976,WIR,,,25228
46,23371,WIR,,,25661
47,23736,WIR,,,26062
48,24122,WIR,,,26486
49,24533,WIR,,,26937
50,24952,WIR,,,27397
51,25372,WIR,,,27858
52,25796,WIR,,,28324
53,26210,WIR,,,28779
54,26638,WIR,,,29249
55,27105,WIR,,,29761
56,27572,WIR,,,30274
57,28019,WIR,,,30765
58,28470,WIR,,,31260
59,28949,WIR,,,31786
60,29429,WIR,,,32313
61,29892,WIR,,,32821
62,30373,WIR,,,33350
63,30874,WIR,,,33900
64,31386,WIR,,,34462
65,31885,WIR,,,35010
66,32403,WIR,,,35578
67,32955,WIR,,,36185
68,33514,WIR,,,36798
69,34110,WIR,,,37453
70,34714,WIR,,,38116
71,35349,WIR,,,38813
72,36027,WIR,,,39558
73,36733,WIR,,,40333
74,37482,WIR,,,41155
75,38253,WIR,,,42002
76,39049,WIR,,,42876
77,39879,WIR,,,43787
78,40734,WIR,,,44726
79,41628,WIR,,,45708
80,42567,WIR,,,46739
81,43525,WIR,,,47790
82,44573,WIR,,,48941
83,45749,WIR,,,50232
84,47000,WIR,,,51606
85,48370,WIR,,,53110
86,49904,WIR,,,54795
87,51570,WIR,,,56624
88,53300,WIR,,,58523
89,55151,WIR,,,60556
90,57166,WIR,,,62768
91,59345,WIR,,,65161
92,61825,WIR,,,67884
93,64795,WIR,,,71145
94,68421,WIR,,,75126
95,72989,WIR,,,80142
96,78965,WIR,,,86704
97,87230,WIR,,,95779
98,99658,WIR,,,109424
99,121255,WIR,,,133138
100,172855,WIR,,,189795
