classification,xVariable,yVariable,xAxisLabel,yStart
North East,11,16627,,
North East,12,16855,,
North East,13,17083,,
North East,14,17312,,
North East,15,17654,,
North East,16,17882,,
North East,17,18110,,
North East,18,18452,,
North East,19,18681,,
North East,20,18909,,
North East,21,19137,,
North East,22,19459,,
North East,23,19674,,
North East,24,19889,,
North East,25,20104,,
North East,26,20426,,
North East,27,20641,,
North East,28,20856,,
North East,29,21178,,
North East,30,21393,,
North East,31,21608,,
North East,32,21908,,
North East,33,22108,,
North East,34,22408,,
North East,35,22608,,
North East,36,22908,,
North East,37,23108,,
North East,38,23408,,
North East,39,23708,,
North East,40,24008,,
North East,41,24308,,
North East,42,24587,,
North East,43,24865,,
North East,44,25144,,
North East,45,25422,,
North East,46,25701,,
North East,47,25980,,
North East,48,26258,,
North East,49,26537,,
North East,50,26908,,
North East,51,27187,,
North East,52,27456,,
North East,53,27814,,
North East,54,28173,,
North East,55,28442,,
North East,56,28800,,
North East,57,29248,,
North East,58,29607,,
North East,59,29965,,
North East,60,30324,,
North East,61,30682,,
North East,62,31018,,
North East,63,31439,,
North East,64,31776,,
North East,65,32196,,
North East,66,32617,,
North East,67,33037,,
North East,68,33542,,
North East,69,34047,,
North East,70,34467,,
North East,71,34972,,
North East,72,35398,,
North East,73,35896,,
North East,74,36322,,
North East,75,36820,,
North East,76,37388,,
North East,77,37886,,
North East,78,38454,,
North East,79,39023,,
North East,80,39662,,
North East,81,40231,,
North East,82,40947,,
North East,83,41663,,
North East,84,42307,,
North East,85,42880,,
North East,86,43739,,
North East,87,44669,,
North East,88,45815,,
North East,89,47103,,
North East,90,48392,,
North East,91,49967,,
North West,11,16573,,
North West,12,16818,,
North West,13,17064,,
North West,14,17309,,
North West,15,17678,,
North West,16,17923,,
North West,17,18168,,
North West,18,18537,,
North West,19,18782,,
North West,20,19028,,
North West,21,19273,,
North West,22,19615,,
North West,23,19843,,
North West,24,20071,,
North West,25,20299,,
North West,26,20641,,
North West,27,20869,,
North West,28,21097,,
North West,29,21439,,
North West,30,21667,,
North West,31,21895,,
North West,32,22228,,
North West,33,22451,,
North West,34,22784,,
North West,35,23006,,
North West,36,23339,,
North West,37,23562,,
North West,38,23895,,
North West,39,24228,,
North West,40,24562,,
North West,41,24895,,
North West,42,25209,,
North West,43,25522,,
North West,44,25836,,
North West,45,26150,,
North West,46,26464,,
North West,47,26777,,
North West,48,27091,,
North West,49,27405,,
North West,50,27823,,
North West,51,28137,,
North West,52,28436,,
North West,53,28834,,
North West,54,29232,,
North West,55,29531,,
North West,56,29929,,
North West,57,30426,,
North West,58,30825,,
North West,59,31223,,
North West,60,31621,,
North West,61,32019,,
North West,62,32397,,
North West,63,32870,,
North West,64,33249,,
North West,65,33722,,
North West,66,34195,,
North West,67,34668,,
North West,68,35236,,
North West,69,35803,,
North West,70,36276,,
North West,71,36844,,
North West,72,37346,,
North West,73,37933,,
North West,74,38435,,
North West,75,39021,,
North West,76,39691,,
North West,77,40277,,
North West,78,40947,,
North West,79,41617,,
North West,80,42371,,
North West,81,43041,,
North West,82,43811,,
North West,83,44581,,
North West,84,45274,,
North West,85,45890,,
North West,86,46814,,
North West,87,47815,,
North West,88,49047,,
North West,89,50433,,
North West,90,51819,,
North West,91,53513,,
Yorkshire and The Humber,11,16521,,
Yorkshire and The Humber,12,16773,,
Yorkshire and The Humber,13,17025,,
Yorkshire and The Humber,14,17277,,
Yorkshire and The Humber,15,17655,,
Yorkshire and The Humber,16,17908,,
Yorkshire and The Humber,17,18160,,
Yorkshire and The Humber,18,18538,,
Yorkshire and The Humber,19,18790,,
Yorkshire and The Humber,20,19042,,
Yorkshire and The Humber,21,19294,,
Yorkshire and The Humber,22,19640,,
Yorkshire and The Humber,23,19871,,
Yorkshire and The Humber,24,20102,,
Yorkshire and The Humber,25,20333,,
Yorkshire and The Humber,26,20679,,
Yorkshire and The Humber,27,20910,,
Yorkshire and The Humber,28,21141,,
Yorkshire and The Humber,29,21487,,
Yorkshire and The Humber,30,21718,,
Yorkshire and The Humber,31,21949,,
Yorkshire and The Humber,32,22247,,
Yorkshire and The Humber,33,22446,,
Yorkshire and The Humber,34,22745,,
Yorkshire and The Humber,35,22943,,
Yorkshire and The Humber,36,23242,,
Yorkshire and The Humber,37,23441,,
Yorkshire and The Humber,38,23739,,
Yorkshire and The Humber,39,24037,,
Yorkshire and The Humber,40,24336,,
Yorkshire and The Humber,41,24634,,
Yorkshire and The Humber,42,24944,,
Yorkshire and The Humber,43,25254,,
Yorkshire and The Humber,44,25563,,
Yorkshire and The Humber,45,25873,,
Yorkshire and The Humber,46,26183,,
Yorkshire and The Humber,47,26493,,
Yorkshire and The Humber,48,26802,,
Yorkshire and The Humber,49,27112,,
Yorkshire and The Humber,50,27525,,
Yorkshire and The Humber,51,27835,,
Yorkshire and The Humber,52,28103,,
Yorkshire and The Humber,53,28461,,
Yorkshire and The Humber,54,28819,,
Yorkshire and The Humber,55,29087,,
Yorkshire and The Humber,56,29444,,
Yorkshire and The Humber,57,29891,,
Yorkshire and The Humber,58,30249,,
Yorkshire and The Humber,59,30607,,
Yorkshire and The Humber,60,30964,,
Yorkshire and The Humber,61,31322,,
Yorkshire and The Humber,62,31675,,
Yorkshire and The Humber,63,32116,,
Yorkshire and The Humber,64,32469,,
Yorkshire and The Humber,65,32911,,
Yorkshire and The Humber,66,33352,,
Yorkshire and The Humber,67,33793,,
Yorkshire and The Humber,68,34323,,
Yorkshire and The Humber,69,34852,,
Yorkshire and The Humber,70,35293,,
Yorkshire and The Humber,71,35823,,
Yorkshire and The Humber,72,36292,,
Yorkshire and The Humber,73,36840,,
Yorkshire and The Humber,74,37310,,
Yorkshire and The Humber,75,37857,,
Yorkshire and The Humber,76,38483,,
Yorkshire and The Humber,77,39031,,
Yorkshire and The Humber,78,39657,,
Yorkshire and The Humber,79,40283,,
Yorkshire and The Humber,80,40987,,
Yorkshire and The Humber,81,41613,,
Yorkshire and The Humber,82,42348,,
Yorkshire and The Humber,83,43084,,
Yorkshire and The Humber,84,43746,,
Yorkshire and The Humber,85,44334,,
Yorkshire and The Humber,86,45217,,
Yorkshire and The Humber,87,46173,,
Yorkshire and The Humber,88,47349,,
Yorkshire and The Humber,89,48673,,
Yorkshire and The Humber,90,49997,,
Yorkshire and The Humber,91,51615,,
East Midlands,11,16477,,
East Midlands,12,16725,,
East Midlands,13,16974,,
East Midlands,14,17222,,
East Midlands,15,17595,,
East Midlands,16,17844,,
East Midlands,17,18092,,
East Midlands,18,18465,,
East Midlands,19,18713,,
East Midlands,20,18962,,
East Midlands,21,19210,,
East Midlands,22,19554,,
East Midlands,23,19783,,
East Midlands,24,20013,,
East Midlands,25,20242,,
East Midlands,26,20586,,
East Midlands,27,20816,,
East Midlands,28,21045,,
East Midlands,29,21389,,
East Midlands,30,21619,,
East Midlands,31,21848,,
East Midlands,32,22172,,
East Midlands,33,22387,,
East Midlands,34,22711,,
East Midlands,35,22927,,
East Midlands,36,23250,,
East Midlands,37,23466,,
East Midlands,38,23789,,
East Midlands,39,24113,,
East Midlands,40,24436,,
East Midlands,41,24760,,
East Midlands,42,25074,,
East Midlands,43,25387,,
East Midlands,44,25701,,
East Midlands,45,26014,,
East Midlands,46,26328,,
East Midlands,47,26641,,
East Midlands,48,26955,,
East Midlands,49,27268,,
East Midlands,50,27686,,
East Midlands,51,28000,,
East Midlands,52,28274,,
East Midlands,53,28639,,
East Midlands,54,29004,,
