classification,xVariable,yVariable,Occupation Description,yStart,xAxisLabel
OC0,11,17189,All employees,,
OC0,12,17474,All employees,,
OC0,13,17760,All employees,,
OC0,14,18045,All employees,,
OC0,15,18473,All employees,,
OC0,16,18758,All employees,,
OC0,17,19043,All employees,,
OC0,18,19471,All employees,,
OC0,19,19756,All employees,,
OC0,20,20042,All employees,,
OC0,21,20327,All employees,,
OC0,22,20739,All employees,,
OC0,23,21013,All employees,,
OC0,24,21288,All employees,,
OC0,25,21562,All employees,,
OC0,26,21974,All employees,,
OC0,27,22248,All employees,,
OC0,28,22522,All employees,,
OC0,29,22934,All employees,,
OC0,30,23209,All employees,,
OC0,31,23483,All employees,,
OC0,32,23840,All employees,,
OC0,33,24078,All employees,,
OC0,34,24436,All employees,,
OC0,35,24674,All employees,,
OC0,36,25031,All employees,,
OC0,37,25269,All employees,,
OC0,38,25626,All employees,,
OC0,39,25984,All employees,,
OC0,40,26341,All employees,,
OC0,41,26698,All employees,,
OC0,42,27052,All employees,,
OC0,43,27405,All employees,,
OC0,44,27759,All employees,,
OC0,45,28113,All employees,,
OC0,46,28467,All employees,,
OC0,47,28820,All employees,,
OC0,48,29174,All employees,,
OC0,49,29528,All employees,,
OC0,50,29999,All employees,,
OC0,51,30353,All employees,,
OC0,52,30678,All employees,,
OC0,53,31112,All employees,,
OC0,54,31546,All employees,,
OC0,55,31871,All employees,,
OC0,56,32305,All employees,,
OC0,57,32848,All employees,,
OC0,58,33281,All employees,,
OC0,59,33715,All employees,,
OC0,60,34149,All employees,,
OC0,61,34583,All employees,,
OC0,62,34976,All employees,,
OC0,63,35467,All employees,,
OC0,64,35860,All employees,,
OC0,65,36351,All employees,,
OC0,66,36842,All employees,,
OC0,67,37332,All employees,,
OC0,68,37922,All employees,,
OC0,69,38511,All employees,,
OC0,70,39002,All employees,,
OC0,71,39591,All employees,,
OC0,72,40150,All employees,,
OC0,73,40802,All employees,,
OC0,74,41361,All employees,,
OC0,75,42013,All employees,,
OC0,76,42759,All employees,,
OC0,77,43411,All employees,,
OC0,78,44156,All employees,,
OC0,79,44901,All employees,,
OC0,80,45740,All employees,,
OC0,81,46485,All employees,,
OC0,82,47544,All employees,,
OC0,83,48603,All employees,,
OC0,84,49557,All employees,,
OC0,85,50404,All employees,,
OC0,86,51675,All employees,,
OC0,87,53052,All employees,,
OC0,88,54747,All employees,,
OC0,89,56653,All employees,,
OC0,90,58560,All employees,,
OC0,91,60890,All employees,,
OC11,11,22764,Corporate managers and directors,,
OC11,12,23367,Corporate managers and directors,,
OC11,13,23969,Corporate managers and directors,,
OC11,14,24572,Corporate managers and directors,,
OC11,15,25476,Corporate managers and directors,,
OC11,16,26079,Corporate managers and directors,,
OC11,17,26681,Corporate managers and directors,,
OC11,18,27585,Corporate managers and directors,,
OC11,19,28188,Corporate managers and directors,,
OC11,20,28790,Corporate managers and directors,,
OC11,21,29393,Corporate managers and directors,,
OC11,22,30162,Corporate managers and directors,,
OC11,23,30675,Corporate managers and directors,,
OC11,24,31188,Corporate managers and directors,,
OC11,25,31701,Corporate managers and directors,,
OC11,26,32471,Corporate managers and directors,,
OC11,27,32984,Corporate managers and directors,,
OC11,28,33497,Corporate managers and directors,,
OC11,29,34266,Corporate managers and directors,,
OC11,30,34779,Corporate managers and directors,,
OC11,31,35292,Corporate managers and directors,,
OC11,32,35964,Corporate managers and directors,,
OC11,33,36413,Corporate managers and directors,,
OC11,34,37085,Corporate managers and directors,,
OC11,35,37533,Corporate managers and directors,,
OC11,36,38205,Corporate managers and directors,,
OC11,37,38654,Corporate managers and directors,,
OC11,38,39326,Corporate managers and directors,,
OC11,39,39998,Corporate managers and directors,,
OC11,40,40671,Corporate managers and directors,,
OC11,41,41343,Corporate managers and directors,,
OC11,42,42041,Corporate managers and directors,,
OC11,43,42739,Corporate managers and directors,,
OC11,44,43437,Corporate managers and directors,,
OC11,45,44136,Corporate managers and directors,,
OC11,46,44834,Corporate managers and directors,,
OC11,47,45532,Corporate managers and directors,,
OC11,48,46230,Corporate managers and directors,,
OC11,49,46928,Corporate managers and directors,,
OC11,50,47859,Corporate managers and directors,,
OC11,51,48557,Corporate managers and directors,,
OC11,52,49221,Corporate managers and directors,,
OC11,53,50105,Corporate managers and directors,,
OC11,54,50990,Corporate managers and directors,,
OC11,55,51654,Corporate managers and directors,,
OC11,56,52539,Corporate managers and directors,,
OC11,57,53645,Corporate managers and directors,,
OC11,58,54530,Corporate managers and directors,,
OC11,59,55414,Corporate managers and directors,,
OC11,60,56299,Corporate managers and directors,,
