xVariable,yVariable,marginalTaxRate
0,0,0
0,0,0
500,500.0,0
1000,1000.0,0
1500,1500.0,0
2000,2000.0,0
2500,2500.0,0
3000,3000.0,0
3500,3500.0,0
4000,4000.0,0
4500,4500.0,0
5000,5000.0,0
5500,5500.0,0
6000,6000.0,0
6500,6500.0,0
7000,7000.0,0
7500,7500.0,0
8000,8000.0,0
8500,8500.0,0
9000,9000.0,0
9500,9500,0
9500,9500,0.12
10000,9940.0,0.12
10500,10380.0,0.12
11000,10820.0,0.12
11500,11260.0,0.12
12000,11700.0,0.12
12500,12140.0,0.12
12500,12140.0,0.32
13000,12480.0,0.32
13500,12820.0,0.32
14000,13160.0,0.32
14500,13500.0,0.32
15000,13840.0,0.32
15500,14180.0,0.32
16000,14520.0,0.32
16500,14860.0,0.32
17000,15200.0,0.32
17500,15540.0,0.32
18000,15880.0,0.32
18500,16220.0,0.32
19000,16560.0,0.32
19500,16900.0,0.32
20000,17240.0,0.32
20500,17580.0,0.32
21000,17920.0,0.32
21500,18260.0,0.32
22000,18600.0,0.32
22500,18940.0,0.32
23000,19280.0,0.32
23500,19620.0,0.32
24000,19960.0,0.32
24500,20300.0,0.32
25000,20640.0,0.32
25500,20980.0,0.32
26000,21320.0,0.32
26500,21660.0,0.32
27000,22000.0,0.32
27500,22340.0,0.32
28000,22680.0,0.32
28500,23020.0,0.32
29000,23360.0,0.32
29500,23700.0,0.32
30000,24040.0,0.32
30500,24380.0,0.32
31000,24720.0,0.32
31500,25060.0,0.32
32000,25400.0,0.32
32500,25740.0,0.32
33000,26080.0,0.32
33500,26420.0,0.32
34000,26760.0,0.32
34500,27100.0,0.32
35000,27440.0,0.32
35500,27780.0,0.32
36000,28120.0,0.32
36500,28460.0,0.32
37000,28800.0,0.32
37500,29140.0,0.32
38000,29480.0,0.32
38500,29820.0,0.32
39000,30160.0,0.32
39500,30500.0,0.32
40000,30840.0,0.32
40500,31180.0,0.32
41000,31520.0,0.32
41500,31860.0,0.32
42000,32200.0,0.32
42500,32540.0,0.32
43000,32880.0,0.32
43500,33220.0,0.32
44000,33560.0,0.32
44500,33900.0,0.32
45000,34240.0,0.32
45500,34580.0,0.32
