Region,11,21,31,41,51,61,71,81,91
North East,16627,19137,21608,24308,27187,30682,34972,40231,49967
North West,16573,19273,21895,24895,28137,32019,36844,43041,53513
Yorkshire and The Humber,16521,19294,21949,24634,27835,31322,35823,41613,51615
East Midlands,16477,19210,21848,24760,28000,31560,35962,41884,52507
West Midlands,16597,19517,22503,25459,28536,32477,37345,43481,54339
East,17212,20475,23705,27000,30345,34348,39198,45940,59929
London,20000,25000,29544,34145,38992,44624,52526,65478,93870
South East,17669,21168,24820,28220,32120,36438,41888,49477,64515
South West,16869,19791,22513,25436,28654,32148,36540,42451,53659
Wales,16638,19205,21762,24353,27500,31418,35871,40411,48426
Scotland,17374,20431,23290,26479,30000,33726,37964,43591,54886
Northern Ireland,16600,19208,21788,24677,27434,31221,35886,40740,49992
