classification,xVariable,yVariable
North East,11,16627
North East,12,16855.18181818182
North East,13,17083.363636363636
North East,14,17311.545454545456
North East,15,17653.818181818184
North East,16,17882.0
North East,17,18110.18181818182
North East,18,18452.454545454544
North East,19,18680.636363636364
North East,20,18908.81818181818
North East,21,19137
North East,22,19459.304347826088
North East,23,19674.17391304348
North East,24,19889.043478260868
North East,25,20103.91304347826
North East,26,20426.217391304348
North East,27,20641.08695652174
North East,28,20855.956521739132
North East,29,21178.260869565216
North East,30,21393.130434782608
North East,31,21608
North East,32,21908.0
North East,33,22108.0
North East,34,22408.0
North East,35,22608.0
North East,36,22908.0
North East,37,23108.0
North East,38,23408.0
North East,39,23708.0
North East,40,24008.0
North East,41,24308
North East,42,24586.612903225807
North East,43,24865.225806451614
North East,44,25143.83870967742
North East,45,25422.451612903227
North East,46,25701.06451612903
North East,47,25979.677419354837
North East,48,26258.290322580644
North East,49,26536.90322580645
North East,50,26908.387096774193
North East,51,27187
North East,52,27455.846153846152
North East,53,27814.30769230769
North East,54,28172.76923076923
North East,55,28441.615384615383
North East,56,28800.076923076922
North East,57,29248.153846153848
North East,58,29606.615384615383
North East,59,29965.076923076922
North East,60,30323.53846153846
North East,61,30682
North East,62,31018.470588235294
North East,63,31439.058823529413
North East,64,31775.529411764706
North East,65,32196.117647058825
North East,66,32616.70588235294
North East,67,33037.294117647056
North East,68,33542.0
North East,69,34046.705882352944
North East,70,34467.294117647056
North East,71,34972
North East,72,35398.40540540541
North East,73,35895.87837837838
North East,74,36322.28378378379
North East,75,36819.75675675676
North East,76,37388.2972972973
North East,77,37885.77027027027
North East,78,38454.31081081081
North East,79,39022.85135135135
North East,80,39662.45945945946
North East,81,40231
North East,82,40946.882352941175
North East,83,41662.76470588235
North East,84,42307.05882352941
North East,85,42879.76470588235
North East,86,43738.82352941176
North East,87,44669.470588235294
North East,88,45814.882352941175
North East,89,47103.470588235294
North East,90,48392.05882352941
North East,91,49967
North West,11,16573
North West,12,16818.454545454544
