ID,RoyalDutchShell,ExxonMobile
1,62.349998,69.150002
2,62.419998,69.419998
3,61.91,70.019997
4,61.610001,69.800003
5,61.52,69.519997
6,62.48,70.300003
7,61.07,69.949997
8,61.110001,69.669998
9,60.959999,69.68
10,60.509998,69.110001
11,61.639999,69.269997
12,60.380001,68.029999
13,59.139999,66.699997
14,57.59,66.099998
15,58.34,65.849998
16,58.18,65.919998
17,57.68,65.540001
18,56.419998,64.959999
19,55.389999,64.43
20,56.709999,66.18
21,57.259998,66.959999
22,56.73,66.599998
23,54.419998,64.720001
24,54.380001,64.800003
25,53.849998,64.349998
26,55.240002,65.199997
27,53.77,64.849998
28,55.43,65.239998
29,54.549999,64.800003
30,55.75,66.279999
31,55.240002,65.760002
32,55.860001,65.959999
33,55.700001,65.870003
34,55.57,65.400002
35,54.540001,64.940002
36,55.380001,65.550003
37,54.810001,65.139999
38,54.740002,65
39,55.380001,65.400002
40,55.709999,65.489998
41,56.34,65.43
42,56.060001,65.400002
43,57.060001,66.470001
44,57.150002,66.480003
45,57.240002,66.779999
46,57.59,67.220001
47,58.060001,67.220001
48,58.25,66.800003
49,57.93,66.300003
50,59.009998,66.57
51,59.900002,67.360001
52,59.75,67.389999
53,58.5,67.040001
54,58.259998,66.970001
55,58.689999,66.949997
56,57.689999,66.5
57,56.939999,66.300003
58,57.380001,66.540001
59,57.59,67.300003
60,57.540001,67.050003
61,57.860001,66.980003
62,58.959999,67.610001
63,59.549999,68.190002
64,59.619999,67.900002
65,58.799999,67.339996
66,59.310001,67.860001
67,60.700001,68.760002
68,60.619999,68.709999
69,60.66,68.660004
70,61.799999,68.610001
71,61.77,68.260002
72,61.110001,67.93
73,61,68.230003
74,61.700001,68.970001
75,61.549999,68.919998
76,61.119999,68.559998
77,61.93,69.239998
78,61.18,69.290001
79,61.07,68.269997
80,62.59,69.190002
81,61.689999,68.660004
82,62.75,67.769997
83,61.939999,67.839996
84,60.09,66.470001
85,57.580002,66.169998
86,55.59,63.889999
87,54.139999,63.700001
88,56.529999,65.230003
89,56.150002,64.459999
90,56.130001,64.910004
91,55.119999,64.739998
92,54.43,63.599998
93,54.060001,63.27
94,52.880001,62.790001
95,53.599998,62.450001
96,52.669998,60.330002
97,52.779999,60.880001
98,51.09,60.189999
99,51.720001,59.709999
100,50.349998,59.310001
101,53.009998,61.459999
102,52.400002,60.459999
103,52.139999,59.25
104,53.810001,60.77
105,54.060001,61.560001
106,51.779999,59.529999
107,51.189999,59.299999
108,51.869999,61.240002
109,50.740002,60.029999
110,52.349998,61.889999
111,52.400002,61.860001
112,52.380001,61.369999
