Year,Month,Day,Sunrise,Sunset,Daylength
2016,10,1,7.3,18.7,11.44
2016,10,2,7.3,18.7,11.36
2016,10,3,7.4,18.6,11.27
2016,10,4,7.4,18.6,11.18
2016,10,5,7.4,18.5,11.1
2016,10,6,7.5,18.5,11.01
2016,10,7,7.5,18.4,10.93
2016,10,8,7.6,18.4,10.84
2016,10,9,7.6,18.4,10.75
2016,10,10,7.6,18.3,10.67
2016,10,11,7.7,18.3,10.58
2016,10,12,7.7,18.2,10.5
2016,10,13,7.8,18.2,10.41
2016,10,14,7.8,18.1,10.32
2016,10,15,7.8,18.1,10.24
2016,10,16,7.9,18,10.15
2016,10,17,7.9,18,10.07
2016,10,18,7.9,17.9,9.98
2016,10,19,8,17.9,9.9
2016,10,20,8,17.8,9.81
2016,10,21,8.1,17.8,9.73
2016,10,22,8.1,17.8,9.64
2016,10,23,8.1,17.7,9.56
2016,10,24,8.2,17.7,9.47
2016,10,25,8.2,17.6,9.39
2016,10,26,8.3,17.6,9.31
2016,10,27,8.3,17.5,9.22
2016,10,28,8.3,17.5,9.14
2016,10,29,8.4,17.4,9.06
2016,10,30,7.4,16.4,8.97
2016,10,31,7.5,16.4,8.89
2016,11,1,7.5,16.3,8.81
2016,11,2,7.6,16.3,8.73
2016,11,3,7.6,16.2,8.65
2016,11,4,7.6,16.2,8.57
2016,11,5,7.7,16.2,8.49
2016,11,6,7.7,16.1,8.41
2016,11,7,7.8,16.1,8.33
2016,11,8,7.8,16,8.25
2016,11,9,7.8,16,8.17
2016,11,10,7.9,16,8.09
2016,11,11,7.9,15.9,8.02
2016,11,12,8,15.9,7.94
2016,11,13,8,15.9,7.87
2016,11,14,8,15.8,7.79
2016,11,15,8.1,15.8,7.72
2016,11,16,8.1,15.8,7.65
2016,11,17,8.2,15.7,7.57
2016,11,18,8.2,15.7,7.5
2016,11,19,8.2,15.7,7.43
2016,11,20,8.3,15.6,7.37
2016,11,21,8.3,15.6,7.3
2016,11,22,8.3,15.6,7.23
2016,11,23,8.4,15.6,7.17
2016,11,24,8.4,15.5,7.11
2016,11,25,8.5,15.5,7.05
2016,11,26,8.5,15.5,6.99
2016,11,27,8.5,15.5,6.93
2016,11,28,8.6,15.4,6.87
2016,11,29,8.6,15.4,6.82
2016,11,30,8.6,15.4,6.76
2016,12,1,8.7,15.4,6.71
2016,12,2,8.7,15.4,6.66
2016,12,3,8.7,15.3,6.62
2016,12,4,8.7,15.3,6.57
2016,12,5,8.8,15.3,6.53
2016,12,6,8.8,15.3,6.49
2016,12,7,8.8,15.3,6.45
2016,12,8,8.9,15.3,6.42
2016,12,9,8.9,15.3,6.38
2016,12,10,8.9,15.3,6.35
2016,12,11,8.9,15.2,6.32
2016,12,12,8.9,15.2,6.3
2016,12,13,9,15.2,6.27
