ID,DateTime,Year,Month,Day,Hour,Temperature
1,01/10/2016 00:00,2016,10,1,0,5.7
2,01/10/2016 01:00,2016,10,1,1,6.3
3,01/10/2016 02:00,2016,10,1,2,6.4
4,01/10/2016 03:00,2016,10,1,3,6.8
5,01/10/2016 04:00,2016,10,1,4,6.1
6,01/10/2016 05:00,2016,10,1,5,6.4
7,01/10/2016 06:00,2016,10,1,6,5.3
8,01/10/2016 07:00,2016,10,1,7,7
9,01/10/2016 08:00,2016,10,1,8,9.5
10,01/10/2016 09:00,2016,10,1,9,10.8
11,01/10/2016 10:00,2016,10,1,10,11.8
12,01/10/2016 11:00,2016,10,1,11,12.6
13,01/10/2016 12:00,2016,10,1,12,13.2
14,01/10/2016 13:00,2016,10,1,13,11.2
15,01/10/2016 14:00,2016,10,1,14,12.6
16,01/10/2016 15:00,2016,10,1,15,11.6
17,01/10/2016 16:00,2016,10,1,16,10.8
18,01/10/2016 17:00,2016,10,1,17,10.8
19,01/10/2016 18:00,2016,10,1,18,8.3
20,01/10/2016 19:00,2016,10,1,19,6.1
21,01/10/2016 20:00,2016,10,1,20,6.5
22,01/10/2016 21:00,2016,10,1,21,6.2
23,01/10/2016 22:00,2016,10,1,22,6
24,01/10/2016 23:00,2016,10,1,23,6.1
25,02/10/2016 00:00,2016,10,2,0,5.9
26,02/10/2016 01:00,2016,10,2,1,6
27,02/10/2016 02:00,2016,10,2,2,5.7
28,02/10/2016 03:00,2016,10,2,3,5.4
29,02/10/2016 04:00,2016,10,2,4,5.3
30,02/10/2016 05:00,2016,10,2,5,5.2
31,02/10/2016 06:00,2016,10,2,6,6
32,02/10/2016 07:00,2016,10,2,7,7.5
33,02/10/2016 08:00,2016,10,2,8,9.9
34,02/10/2016 09:00,2016,10,2,9,11.4
35,02/10/2016 10:00,2016,10,2,10,12.2
36,02/10/2016 11:00,2016,10,2,11,12.8
37,02/10/2016 12:00,2016,10,2,12,12.5
38,02/10/2016 13:00,2016,10,2,13,13.2
39,02/10/2016 14:00,2016,10,2,14,12.8
40,02/10/2016 15:00,2016,10,2,15,12.5
41,02/10/2016 16:00,2016,10,2,16,11.9
42,02/10/2016 17:00,2016,10,2,17,10.2
43,02/10/2016 18:00,2016,10,2,18,7.2
44,02/10/2016 19:00,2016,10,2,19,7.5
45,02/10/2016 20:00,2016,10,2,20,7.9
46,02/10/2016 21:00,2016,10,2,21,7.7
47,02/10/2016 22:00,2016,10,2,22,8.1
48,02/10/2016 23:00,2016,10,2,23,9.4
49,03/10/2016 00:00,2016,10,3,0,9.6
50,03/10/2016 01:00,2016,10,3,1,9.6
51,03/10/2016 02:00,2016,10,3,2,9.5
52,03/10/2016 03:00,2016,10,3,3,10
53,03/10/2016 04:00,2016,10,3,4,9.7
54,03/10/2016 05:00,2016,10,3,5,10.1
55,03/10/2016 06:00,2016,10,3,6,10
56,03/10/2016 07:00,2016,10,3,7,10.4
57,03/10/2016 08:00,2016,10,3,8,10.9
58,03/10/2016 09:00,2016,10,3,9,12.1
59,03/10/2016 10:00,2016,10,3,10,11.8
60,03/10/2016 11:00,2016,10,3,11,12.5
61,03/10/2016 12:00,2016,10,3,12,13.1
62,03/10/2016 13:00,2016,10,3,13,12.5
63,03/10/2016 14:00,2016,10,3,14,12.9
64,03/10/2016 15:00,2016,10,3,15,12.5
65,03/10/2016 16:00,2016,10,3,16,12
66,03/10/2016 17:00,2016,10,3,17,11.4
