Year,Month,Day,Sunrise,Sunset,Daylength,avgDailyTemperature,avgDaylightTemperature,numberOfDaylightHours,runningTotalAverage,runningTotalAverageDaily
2016,10,1,7.3,18.7,11.44,8.5,11.1,11,11.1,11.1
2016,10,2,7.3,18.7,11.36,8.9,11.5,11,11.3,11.3
2016,10,3,7.4,18.6,11.27,11.2,12.0,11,11.5,11.5
2016,10,4,7.4,18.6,11.18,12.9,13.4,11,12.0,12.0
2016,10,5,7.4,18.5,11.1,12.4,13.2,10,12.2,12.2
2016,10,6,7.5,18.5,11.01,10.6,12.2,9,12.2,12.2
2016,10,7,7.5,18.4,10.93,10.2,12.2,9,12.2,12.2
2016,10,8,7.6,18.4,10.84,10.9,12.3,9,12.2,12.2
2016,10,9,7.6,18.4,10.75,9.5,12.5,9,12.3,12.3
2016,10,10,7.6,18.3,10.67,8.6,11.3,9,12.2,12.2
2016,10,11,7.7,18.3,10.58,8.7,11.3,9,12.1,12.1
2016,10,12,7.7,18.2,10.5,9.6,10.3,9,12.0,11.9
2016,10,13,7.8,18.2,10.41,10.2,10.8,9,11.9,11.9
2016,10,14,7.8,18.1,10.32,10.1,9.9,9,11.7,11.7
2016,10,15,7.8,18.1,10.24,9.8,9.4,9,11.6,11.6
2016,10,16,7.9,18,10.15,11.8,12.3,9,11.6,11.6
2016,10,17,7.9,18,10.07,11.4,12.2,9,11.7,11.6
2016,10,18,7.9,17.9,9.98,10.3,11.1,9,11.6,11.6
2016,10,19,8,17.9,9.9,10.3,11.7,9,11.6,11.6
2016,10,20,8,17.8,9.81,8.8,10.8,9,11.6,11.6
2016,10,21,8.1,17.8,9.73,9.6,10.5,9,11.6,11.5
2016,10,22,8.1,17.8,9.64,9.2,10.4,9,11.5,11.5
2016,10,23,8.1,17.7,9.56,7.2,8.7,9,11.4,11.4
2016,10,24,8.2,17.7,9.47,7.3,9.1,9,11.3,11.3
2016,10,25,8.2,17.6,9.39,7.7,8.5,9,11.2,11.1
2016,10,26,8.3,17.6,9.31,10.7,11.1,9,11.2,11.1
2016,10,27,8.3,17.5,9.22,10.6,12.2,8,11.2,11.2
2016,10,28,8.3,17.5,9.14,8.6,8.8,8,11.1,11.1
2016,10,29,8.4,17.4,9.06,10.1,10.4,8,11.1,11.1
2016,10,30,7.4,16.4,8.97,11.2,11.2,8,11.1,11.1
2016,10,31,7.5,16.4,8.89,9.0,9.6,7,11.1,11.0
2016,11,1,7.5,16.3,8.81,7.3,8.5,7,11.0,11.0
2016,11,2,7.6,16.3,8.73,7.0,8.3,7,11.0,10.9
2016,11,3,7.6,16.2,8.65,7.1,7.7,7,10.9,10.8
2016,11,4,7.6,16.2,8.57,7.6,8.7,7,10.8,10.7
2016,11,5,7.7,16.2,8.49,6.1,5.9,7,10.7,10.6
2016,11,6,7.7,16.1,8.41,6.1,6.4,7,10.6,10.5
2016,11,7,7.8,16.1,8.33,5.4,5.6,7,10.5,10.3
2016,11,8,7.8,16,8.25,4.4,4.5,7,10.4,10.2
2016,11,9,7.8,16,8.17,5.5,5.4,7,10.3,10.1
2016,11,10,7.9,16,8.09,5.6,6.2,7,10.2,10.0
2016,11,11,7.9,15.9,8.02,6.5,6.7,7,10.1,9.9
2016,11,12,8,15.9,7.94,7.8,9.1,7,10.1,9.9
2016,11,13,8,15.9,7.87,7.9,7.8,7,10.1,9.8
2016,11,14,8,15.8,7.79,12.1,11.7,7,10.1,9.9
2016,11,15,8.1,15.8,7.72,9.5,9.8,7,10.1,9.9
2016,11,16,8.1,15.8,7.65,5.4,4.9,7,10.0,9.8
2016,11,17,8.2,15.7,7.57,3.2,4.3,7,9.9,9.7
2016,11,18,8.2,15.7,7.5,2.0,1.8,7,9.8,9.5
2016,11,19,8.2,15.7,7.43,2.9,3.6,7,9.7,9.4
2016,11,20,8.3,15.6,7.37,2.0,3.9,7,9.6,9.3
2016,11,21,8.3,15.6,7.3,3.4,3.9,7,9.5,9.2
2016,11,22,8.3,15.6,7.23,6.1,6.5,7,9.4,9.1
2016,11,23,8.4,15.6,7.17,4.0,4.3,7,9.4,9.0
2016,11,24,8.4,15.5,7.11,7.4,7.3,6,9.3,9.0
2016,11,25,8.5,15.5,7.05,9.1,9.3,5,9.3,9.0
2016,11,26,8.5,15.5,6.99,8.3,8.2,5,9.3,9.0
2016,11,27,8.5,15.5,6.93,5.3,5.8,5,9.3,8.9
2016,11,28,8.6,15.4,6.87,4.7,5.6,5,9.2,8.9
2016,11,29,8.6,15.4,6.82,6.3,7.6,5,9.2,8.9
2016,11,30,8.6,15.4,6.76,8.4,8.9,5,9.2,8.9
2016,12,1,8.7,15.4,6.71,8.7,8.9,5,9.2,8.9
2016,12,2,8.7,15.4,6.66,6.3,6.1,5,9.2,8.8
2016,12,3,8.7,15.3,6.62,5.7,6.5,5,9.2,8.8
2016,12,4,8.7,15.3,6.57,4.9,6.3,5,9.1,8.7
2016,12,5,8.8,15.3,6.53,3.1,4.4,5,9.1,8.7
2016,12,6,8.8,15.3,6.49,7.5,8.0,5,9.1,8.7
2016,12,7,8.8,15.3,6.45,11.3,11.8,5,9.1,8.7
2016,12,8,8.9,15.3,6.42,10.7,10.8,5,9.1,8.7
2016,12,9,8.9,15.3,6.38,8.5,8.7,5,9.1,8.7
2016,12,10,8.9,15.3,6.35,7.8,7.7,5,9.1,8.7
2016,12,11,8.9,15.2,6.32,7.8,8.6,5,9.1,8.7
2016,12,12,8.9,15.2,6.3,7.2,7.8,5,9.1,8.7
2016,12,13,9,15.2,6.27,5.6,5.3,5,9.0,8.7
2016,12,14,9,15.2,6.25,8.8,10.0,5,9.1,8.7
2016,12,15,9,15.2,6.23,8.1,8.6,5,9.0,8.7
2016,12,16,9,15.2,6.22,7.9,8.2,5,9.0,8.7
2016,12,17,9,15.2,6.21,7.8,9.0,5,9.0,8.7
2016,12,18,9,15.2,6.2,10.0,10.5,5,9.1,8.7
2016,12,19,9.1,15.2,6.19,7.8,9.2,5,9.1,8.7
2016,12,20,9.1,15.3,6.19,6.1,6.3,5,9.0,8.7
2016,12,21,9.1,15.3,6.18,4.1,4.2,5,9.0,8.6
2016,12,22,9.1,15.3,6.19,3.1,2.5,5,8.9,8.5
2016,12,23,9.1,15.3,6.19,5.9,7.5,5,8.9,8.5
2016,12,24,9.1,15.3,6.2,3.7,3.3,5,8.9,8.5
2016,12,25,9.1,15.3,6.21,8.2,11.4,5,8.9,8.5
2016,12,26,9.1,15.3,6.22,4.9,4.7,5,8.9,8.5
2016,12,27,9.1,15.3,6.24,7.4,8.4,5,8.9,8.5
2016,12,28,9.1,15.4,6.25,6.9,7.8,5,8.9,8.5
2016,12,29,9.1,15.4,6.28,8.6,8.2,5,8.8,8.5
2016,12,30,9.1,15.4,6.3,9.1,8.6,5,8.8,8.5
2016,12,31,9.1,15.4,6.33,5.6,6.2,5,8.8,8.4
2017,1,1,9.1,15.4,6.35,4.3,5.2,5,8.8,8.4
2017,1,2,9.1,15.5,6.39,4.7,4.7,5,8.8,8.4
2017,1,3,9.1,15.5,6.42,7.2,8.0,5,8.8,8.4
2017,1,4,9.1,15.5,6.46,3.4,3.0,5,8.7,8.3
2017,1,5,9,15.5,6.5,3.2,3.7,5,8.7,8.3
2017,1,6,9,15.6,6.54,7.5,8.7,6,8.7,8.3
2017,1,7,9,15.6,6.58,6.7,6.5,6,8.7,8.2
2017,1,8,9,15.6,6.63,8.4,8.4,6,8.7,8.2
2017,1,9,9,15.7,6.67,6.6,5.8,6,8.6,8.2
2017,1,10,9,15.7,6.72,6.7,6.8,6,8.6,8.2
2017,1,11,8.9,15.7,6.77,5.0,4.6,6,8.6,8.2
2017,1,12,8.9,15.8,6.83,2.1,1.2,6,8.5,8.1
2017,1,13,8.9,15.8,6.88,2.2,1.9,6,8.5,8.0
2017,1,14,8.9,15.8,6.94,1.4,2.4,6,8.4,8.0
2017,1,15,8.9,15.9,7,5.4,6.2,6,8.4,8.0
2017,1,16,8.8,15.9,7.06,8.3,8.3,6,8.4,8.0
2017,1,17,8.8,15.9,7.12,9.2,10.2,6,8.4,8.0
2017,1,18,8.8,16,7.19,8.7,9.6,6,8.4,8.0
2017,1,19,8.8,16,7.25,9.0,9.3,6,8.4,8.0
2017,1,20,8.7,16,7.32,6.9,7.9,6,8.4,8.0
2017,1,21,8.7,16.1,7.38,4.1,4.5,6,8.4,8.0
2017,1,22,8.7,16.1,7.45,3.3,4.4,6,8.4,8.0
2017,1,23,8.6,16.2,7.52,5.0,5.9,6,8.3,7.9
2017,1,24,8.6,16.2,7.59,7.0,7.9,6,8.3,7.9
2017,1,25,8.6,16.2,7.67,8.7,9.4,6,8.3,8.0
2017,1,26,8.5,16.3,7.74,5.8,5.8,6,8.3,7.9
2017,1,27,8.5,16.3,7.81,5.0,5.4,6,8.3,7.9
2017,1,28,8.5,16.4,7.89,5.1,5.3,6,8.3,7.9
2017,1,29,8.4,16.4,7.97,4.2,4.7,7,8.2,7.9
2017,1,30,8.4,16.4,8.04,3.9,4.4,7,8.2,7.8
2017,1,31,8.4,16.5,8.12,6.3,6.4,7,8.2,7.8
2017,2,1,8.3,16.5,8.2,5.9,5.6,7,8.2,7.8
2017,2,2,8.3,16.6,8.28,8.1,8.3,8,8.2,7.8
2017,2,3,8.3,16.6,8.36,7.9,8.5,8,8.2,7.8
2017,2,4,8.2,16.7,8.44,6.3,6.8,8,8.2,7.8
2017,2,5,8.2,16.7,8.52,5.2,5.7,8,8.1,7.8
2017,2,6,8.1,16.7,8.6,5.3,5.7,8,8.1,7.8
2017,2,7,8.1,16.8,8.68,5.2,5.3,8,8.1,7.8
2017,2,8,8.1,16.8,8.76,3.9,3.9,8,8.1,7.7
2017,2,9,8,16.9,8.85,2.9,3.4,8,8.0,7.7
2017,2,10,8,16.9,8.93,0.5,1.1,8,8.0,7.6
2017,2,11,7.9,16.9,9.01,1.1,3.2,8,7.9,7.6
2017,2,12,7.9,17,9.1,3.0,4.3,8,7.9,7.6
2017,2,13,7.9,17,9.18,4.6,4.8,8,7.8,7.6
2017,2,14,7.8,17.1,9.27,5.9,6.9,8,7.8,7.6
2017,2,15,7.8,17.1,9.35,6.2,7.9,8,7.8,7.6
2017,2,16,7.7,17.2,9.43,7.2,7.7,8,7.8,7.6
2017,2,17,7.7,17.2,9.52,7.0,7.8,8,7.8,7.6
2017,2,18,7.6,17.2,9.61,7.9,9.0,8,7.9,7.6
2017,2,19,7.6,17.3,9.69,8.3,8.3,8,7.9,7.6
2017,2,20,7.5,17.3,9.78,8.0,8.9,8,7.9,7.6
2017,2,21,7.5,17.4,9.86,6.1,6.3,8,7.9,7.6
2017,2,22,7.5,17.4,9.95,5.0,6.1,8,7.8,7.6
2017,2,23,7.4,17.4,10.04,2.8,3.7,9,7.8,7.5
2017,2,24,7.4,17.5,10.12,2.7,3.3,9,7.8,7.5
2017,2,25,7.3,17.5,10.21,6.7,8.4,9,7.8,7.5
2017,2,26,7.3,17.6,10.3,5.2,6.0,10,7.7,7.5
2017,2,27,7.2,17.6,10.38,3.1,4.2,10,7.7,7.5
2017,2,28,7.2,17.6,10.47,4.0,5.9,10,7.7,7.5
2017,3,1,7.1,17.7,10.56,3.1,3.5,10,7.7,7.5
