xVariable,yVariable,marginalTaxRate
0,0,0
0,0,0
500,500.0,0
1000,1000.0,0
1500,1500.0,0
2000,2000.0,0
2500,2500.0,0
3000,3000.0,0
3500,3500.0,0
4000,4000.0,0
4500,4500.0,0
5000,5000.0,0
5500,5500.0,0
6000,6000.0,0
6475,6475,0
6475,6475,0.2
6500,6495.0,0.2
7000,6895.0,0.2
7500,7295.0,0.2
8000,7695.0,0.2
8500,8095.0,0.2
9000,8495.0,0.2
9500,8895.0,0.2
10000,9295.0,0.2
10500,9695.0,0.2
11000,10095.0,0.2
11500,10495.0,0.2
12000,10895.0,0.2
12500,11295.0,0.2
13000,11695.0,0.2
13500,12095.0,0.2
14000,12495.0,0.2
14500,12895.0,0.2
15000,13295.0,0.2
15500,13695.0,0.2
16000,14095.0,0.2
16500,14495.0,0.2
17000,14895.0,0.2
17500,15295.0,0.2
18000,15695.0,0.2
18500,16095.0,0.2
19000,16495.0,0.2
19500,16895.0,0.2
20000,17295.0,0.2
20500,17695.0,0.2
21000,18095.0,0.2
21500,18495.0,0.2
22000,18895.0,0.2
22500,19295.0,0.2
23000,19695.0,0.2
23500,20095.0,0.2
24000,20495.0,0.2
24500,20895.0,0.2
25000,21295.0,0.2
25500,21695.0,0.2
26000,22095.0,0.2
26500,22495.0,0.2
27000,22895.0,0.2
27500,23295.0,0.2
28000,23695.0,0.2
28500,24095.0,0.2
29000,24495.0,0.2
29500,24895.0,0.2
30000,25295.0,0.2
30500,25695.0,0.2
31000,26095.0,0.2
31500,26495.0,0.2
32000,26895.0,0.2
32500,27295.0,0.2
33000,27695.0,0.2
33500,28095.0,0.2
34000,28495.0,0.2
34500,28895.0,0.2
35000,29295.0,0.2
35500,29695.0,0.2
36000,30095.0,0.2
36500,30495.0,0.2
37000,30895.0,0.2
37500,31295.0,0.2
38000,31695.0,0.2
38500,32095.0,0.2
39000,32495.0,0.2
39500,32895.0,0.2
40000,33295.0,0.2
40500,33695.0,0.2
41000,34095.0,0.2
41500,34495.0,0.2
42000,34895.0,0.2
42500,35295.0,0.2
43000,35695.0,0.2
43500,36095.0,0.2
43875,36395.0,0.2
43875,36395.0,0.4
44000,36470.0,0.4
