xVariable,yVariable,marginalTaxRate
0,0,0
0,0,0
500,500.0,0
1000,1000.0,0
1500,1500.0,0
2000,2000.0,0
2500,2500.0,0
3000,3000.0,0
3500,3500.0,0
4000,4000.0,0
4500,4500.0,0
5000,5000.0,0
5500,5500.0,0
6000,6000.0,0
6500,6500.0,0
7000,7000.0,0
7500,7500.0,0
7866,7866,0
7866,7866,0.2
8000,7973.2,0.2
8500,8373.199999999999,0.2
9000,8773.199999999999,0.2
9500,9173.199999999999,0.2
10000,9573.199999999999,0.2
10500,9973.199999999999,0.2
11000,10373.199999999999,0.2
11500,10773.199999999999,0.2
12000,11173.199999999999,0.2
12500,11573.199999999999,0.2
13000,11973.199999999999,0.2
13500,12373.199999999999,0.2
14000,12773.199999999999,0.2
14500,13173.199999999999,0.2
15000,13573.199999999999,0.2
15500,13973.199999999999,0.2
16000,14373.199999999999,0.2
16500,14773.199999999999,0.2
17000,15173.199999999999,0.2
17500,15573.199999999999,0.2
18000,15973.199999999999,0.2
18500,16373.199999999999,0.2
19000,16773.2,0.2
19500,17173.2,0.2
20000,17573.2,0.2
20500,17973.2,0.2
21000,18373.2,0.2
21500,18773.2,0.2
22000,19173.2,0.2
22500,19573.2,0.2
23000,19973.2,0.2
23500,20373.2,0.2
24000,20773.2,0.2
24500,21173.2,0.2
25000,21573.2,0.2
25500,21973.2,0.2
26000,22373.2,0.2
26500,22773.2,0.2
27000,23173.2,0.2
27500,23573.2,0.2
28000,23973.2,0.2
28500,24373.2,0.2
29000,24773.2,0.2
29500,25173.2,0.2
30000,25573.2,0.2
30500,25973.2,0.2
31000,26373.2,0.2
31500,26773.2,0.2
32000,27173.2,0.2
32500,27573.199999999997,0.2
33000,27973.199999999997,0.2
33500,28373.199999999997,0.2
34000,28773.199999999997,0.2
34500,29173.199999999997,0.2
35000,29573.199999999997,0.2
35500,29973.199999999997,0.2
36000,30373.199999999997,0.2
36500,30773.199999999997,0.2
37000,31173.199999999997,0.2
37500,31573.199999999997,0.2
38000,31973.199999999997,0.2
38500,32373.199999999997,0.2
39000,32773.2,0.2
39500,33173.2,0.2
40000,33573.2,0.2
40500,33973.2,0.2
41000,34373.2,0.2
