xVariable,yVariable,marginalTaxRate
0,0,0
0,0,0
500,500.0,0
1000,1000.0,0
1500,1500.0,0
2000,2000.0,0
2500,2500.0,0
3000,3000.0,0
3500,3500.0,0
4000,4000.0,0
4500,4500.0,0
5000,5000.0,0
5500,5500.0,0
6000,6000.0,0
6500,6500.0,0
7000,7000.0,0
7500,7500.0,0
8000,8000.0,0
8500,8500.0,0
9000,9000.0,0
9500,9500.0,0
10000,10000.0,0
10333,10333,0
10333,10333,0.2
10500,10466.599999999999,0.2
11000,10866.599999999999,0.2
11500,11266.599999999999,0.2
12000,11666.599999999999,0.2
12500,12066.599999999999,0.2
13000,12466.599999999999,0.2
13500,12866.599999999999,0.2
14000,13266.599999999999,0.2
14500,13666.599999999999,0.2
15000,14066.599999999999,0.2
15500,14466.599999999999,0.2
16000,14866.599999999999,0.2
16500,15266.599999999999,0.2
17000,15666.599999999999,0.2
17500,16066.599999999999,0.2
18000,16466.6,0.2
18500,16866.6,0.2
19000,17266.6,0.2
19500,17666.6,0.2
20000,18066.6,0.2
20500,18466.6,0.2
21000,18866.6,0.2
21500,19266.6,0.2
22000,19666.6,0.2
22500,20066.6,0.2
23000,20466.6,0.2
23500,20866.6,0.2
24000,21266.6,0.2
24500,21666.6,0.2
25000,22066.6,0.2
25500,22466.6,0.2
26000,22866.6,0.2
26500,23266.6,0.2
27000,23666.6,0.2
27500,24066.6,0.2
28000,24466.6,0.2
28500,24866.6,0.2
29000,25266.6,0.2
29500,25666.6,0.2
30000,26066.6,0.2
30500,26466.6,0.2
31000,26866.6,0.2
31500,27266.6,0.2
32000,27666.6,0.2
32500,28066.6,0.2
33000,28466.6,0.2
33500,28866.6,0.2
34000,29266.6,0.2
34500,29666.6,0.2
35000,30066.6,0.2
35500,30466.6,0.2
36000,30866.600000000002,0.2
36500,31266.600000000002,0.2
37000,31666.600000000002,0.2
37500,32066.600000000002,0.2
38000,32466.600000000002,0.2
38500,32866.6,0.2
39000,33266.6,0.2
39500,33666.6,0.2
40000,34066.6,0.2
40500,34466.6,0.2
41000,34866.6,0.2
41500,35266.6,0.2
42000,35666.6,0.2
42500,36066.6,0.2
43000,36466.6,0.2
43500,36866.6,0.2
