xVariable,yVariable,marginalTaxRate
0,0,0
0,0,0
500,500.0,0
1000,1000.0,0
1500,1500.0,0
2000,2000.0,0
2500,2500.0,0
3000,3000.0,0
3500,3500.0,0
4000,4000.0,0
4500,4500.0,0
5000,5000.0,0
5500,5500.0,0
6000,6000.0,0
6500,6500.0,0
7000,7000.0,0
7500,7500.0,0
8000,8000.0,0
8500,8500.0,0
9000,9000.0,0
9500,9500.0,0
10000,10000,0
10000,10000,0.2
10500,10400.0,0.2
11000,10800.0,0.2
11500,11200.0,0.2
12000,11600.0,0.2
12500,12000.0,0.2
13000,12400.0,0.2
13500,12800.0,0.2
14000,13200.0,0.2
14500,13600.0,0.2
15000,14000.0,0.2
15500,14400.0,0.2
16000,14800.0,0.2
16500,15200.0,0.2
17000,15600.0,0.2
17500,16000.0,0.2
18000,16400.0,0.2
18500,16800.0,0.2
19000,17200.0,0.2
19500,17600.0,0.2
20000,18000.0,0.2
20500,18400.0,0.2
21000,18800.0,0.2
21500,19200.0,0.2
22000,19600.0,0.2
22500,20000.0,0.2
23000,20400.0,0.2
23500,20800.0,0.2
24000,21200.0,0.2
24500,21600.0,0.2
25000,22000.0,0.2
25500,22400.0,0.2
26000,22800.0,0.2
26500,23200.0,0.2
27000,23600.0,0.2
27500,24000.0,0.2
28000,24400.0,0.2
28500,24800.0,0.2
29000,25200.0,0.2
29500,25600.0,0.2
30000,26000.0,0.2
30500,26400.0,0.2
31000,26800.0,0.2
31500,27200.0,0.2
32000,27600.0,0.2
32500,28000.0,0.2
33000,28400.0,0.2
33500,28800.0,0.2
34000,29200.0,0.2
34500,29600.0,0.2
35000,30000.0,0.2
35500,30400.0,0.2
36000,30800.0,0.2
36500,31200.0,0.2
37000,31600.0,0.2
37500,32000.0,0.2
38000,32400.0,0.2
38500,32800.0,0.2
39000,33200.0,0.2
39500,33600.0,0.2
40000,34000.0,0.2
40500,34400.0,0.2
41000,34800.0,0.2
41500,35200.0,0.2
41865,35492.0,0.2
41865,35492.0,0.4
42000,35573.0,0.4
42500,35873.0,0.4
43000,36173.0,0.4
43500,36473.0,0.4
44000,36773.0,0.4
44500,37073.0,0.4
45000,37373.0,0.4
