xVariable,yVariable,marginalTaxRate
0,0,0
0,0,0
500,500.0,0
1000,1000.0,0
1500,1500.0,0
2000,2000.0,0
2500,2500.0,0
3000,3000.0,0
3500,3500.0,0
4000,4000.0,0
4500,4500.0,0
5000,5000.0,0
5500,5500.0,0
6000,6000.0,0
6500,6500.0,0
7000,7000.0,0
7500,7500.0,0
8000,8000.0,0
8500,8500.0,0
8632,8632,0
8632,8632,0.12
9000,8955.84,0.12
9500,9395.840000000002,0.12
10000,9835.840000000002,0.12
10500,10275.840000000002,0.12
11000,10715.840000000002,0.12
11500,11155.84,0.12
12000,11595.84,0.12
12500,12035.84,0.12
12500,12035.84,0.32
13000,12375.84,0.32
13500,12715.84,0.32
14000,13055.84,0.32
14500,13395.84,0.32
15000,13735.84,0.32
15500,14075.84,0.32
16000,14415.84,0.32
16500,14755.84,0.32
17000,15095.84,0.32
17500,15435.84,0.32
18000,15775.84,0.32
18500,16115.84,0.32
19000,16455.84,0.32
19500,16795.84,0.32
20000,17135.84,0.32
20500,17475.84,0.32
21000,17815.84,0.32
21500,18155.84,0.32
22000,18495.84,0.32
22500,18835.84,0.32
23000,19175.84,0.32
23500,19515.84,0.32
24000,19855.84,0.32
24500,20195.84,0.32
25000,20535.84,0.32
25500,20875.84,0.32
26000,21215.84,0.32
26500,21555.84,0.32
27000,21895.84,0.32
27500,22235.84,0.32
28000,22575.84,0.32
28500,22915.84,0.32
29000,23255.84,0.32
29500,23595.84,0.32
30000,23935.839999999997,0.32
30500,24275.839999999997,0.32
31000,24615.839999999997,0.32
31500,24955.839999999997,0.32
32000,25295.839999999997,0.32
32500,25635.839999999997,0.32
33000,25975.839999999997,0.32
33500,26315.839999999997,0.32
34000,26655.839999999997,0.32
34500,26995.839999999997,0.32
35000,27335.839999999997,0.32
35500,27675.839999999997,0.32
36000,28015.839999999997,0.32
36500,28355.839999999997,0.32
37000,28695.84,0.32
37500,29035.84,0.32
38000,29375.84,0.32
38500,29715.84,0.32
39000,30055.84,0.32
39500,30395.84,0.32
40000,30735.84,0.32
40500,31075.84,0.32
41000,31415.84,0.32
41500,31755.84,0.32
42000,32095.84,0.32
42500,32435.84,0.32
43000,32775.84,0.32
