xVariable,yVariable,marginalTaxRate
0,0,0
0,0,0
500,500.0,0
1000,1000.0,0
1500,1500.0,0
2000,2000.0,0
2500,2500.0,0
3000,3000.0,0
3500,3500.0,0
4000,4000.0,0
4500,4500.0,0
5000,5000.0,0
5500,5500.0,0
6000,6000.0,0
6500,6500.0,0
7000,7000.0,0
7500,7500.0,0
8000,8000.0,0
8500,8500.0,0
8632,8632,0
8632,8632,0
9000,9000.0,0
9500,9500.0,0
10000,10000.0,0
10500,10500.0,0
11000,11000.0,0
11500,11500.0,0
12000,12000.0,0
12500,12500,0
12500,12500,0.2
13000,12900.0,0.2
13500,13300.0,0.2
14000,13700.0,0.2
14500,14100.0,0.2
15000,14500.0,0.2
15500,14900.0,0.2
16000,15300.0,0.2
16500,15700.0,0.2
17000,16100.0,0.2
17500,16500.0,0.2
18000,16900.0,0.2
18500,17300.0,0.2
19000,17700.0,0.2
19500,18100.0,0.2
20000,18500.0,0.2
20500,18900.0,0.2
21000,19300.0,0.2
21500,19700.0,0.2
22000,20100.0,0.2
22500,20500.0,0.2
23000,20900.0,0.2
23500,21300.0,0.2
24000,21700.0,0.2
24500,22100.0,0.2
25000,22500.0,0.2
25500,22900.0,0.2
26000,23300.0,0.2
26500,23700.0,0.2
27000,24100.0,0.2
27500,24500.0,0.2
28000,24900.0,0.2
28500,25300.0,0.2
29000,25700.0,0.2
29500,26100.0,0.2
30000,26500.0,0.2
30500,26900.0,0.2
31000,27300.0,0.2
31500,27700.0,0.2
32000,28100.0,0.2
32500,28500.0,0.2
33000,28900.0,0.2
33500,29300.0,0.2
34000,29700.0,0.2
34500,30100.0,0.2
35000,30500.0,0.2
35500,30900.0,0.2
36000,31300.0,0.2
36500,31700.0,0.2
37000,32100.0,0.2
37500,32500.0,0.2
38000,32900.0,0.2
38500,33300.0,0.2
39000,33700.0,0.2
39500,34100.0,0.2
40000,34500.0,0.2
40500,34900.0,0.2
41000,35300.0,0.2
41500,35700.0,0.2
42000,36100.0,0.2
42500,36500.0,0.2
43000,36900.0,0.2
43500,37300.0,0.2
44000,37700.0,0.2
44500,38100.0,0.2
45000,38500.0,0.2
45500,38900.0,0.2
46000,39300.0,0.2
