Percentile,Pretax income
1,11000
2,11200
3,11500
4,11700
5,11900
6,12200
7,12400
8,12600
9,12800
10,13100
11,13300
12,13500
13,13700
14,13900
15,14200
16,14400
17,14600
18,14900
19,15100
20,15300
21,15500
22,15800
23,16000
24,16200
25,16400
26,16700
27,16900
28,17100
29,17400
30,17600
31,17800
32,18100
33,18300
34,18600
35,18800
36,19100
37,19300
38,19600
39,19900
40,20200
41,20500
42,20800
43,21100
44,21400
45,21700
46,22000
47,22300
48,22600
49,22900
50,23300
51,23600
52,23900
53,24300
54,24700
55,25000
56,25400
57,25900
58,26300
59,26700
60,27100
61,27500
62,27900
63,28400
64,28800
65,29300
66,29800
67,30300
68,30900
69,31500
70,32000
71,32600
72,33200
73,33900
74,34500
75,35200
76,36000
77,36700
78,37500
79,38300
80,39200
81,40000
82,41000
83,42000
84,42900
85,43700
86,44900
87,46200
88,47800
89,49600
90,51400
91,53600
92,56300
93,59500
94,63500
95,68600
96,75300
97,83700
98,96400
99,116000
100,166000
