classification,xVariable,yVariable
OC0,11,17189
OC0,12,17474.272727272728
OC0,13,17759.545454545456
OC0,14,18044.81818181818
OC0,15,18472.727272727272
OC0,16,18758.0
OC0,17,19043.272727272728
OC0,18,19471.18181818182
OC0,19,19756.454545454544
OC0,20,20041.727272727272
OC0,21,20327
OC0,22,20738.652173913044
OC0,23,21013.08695652174
OC0,24,21287.521739130436
OC0,25,21561.956521739132
OC0,26,21973.608695652172
OC0,27,22248.043478260868
OC0,28,22522.478260869564
OC0,29,22934.130434782608
OC0,30,23208.565217391304
OC0,31,23483
OC0,32,23840.222222222223
OC0,33,24078.37037037037
OC0,34,24435.59259259259
OC0,35,24673.74074074074
OC0,36,25030.962962962964
OC0,37,25269.11111111111
OC0,38,25626.333333333332
OC0,39,25983.555555555555
OC0,40,26340.777777777777
OC0,41,26698
OC0,42,27051.709677419356
OC0,43,27405.41935483871
OC0,44,27759.129032258064
OC0,45,28112.83870967742
OC0,46,28466.548387096773
OC0,47,28820.25806451613
OC0,48,29173.967741935485
OC0,49,29527.677419354837
OC0,50,29999.290322580644
OC0,51,30353
OC0,52,30678.384615384617
OC0,53,31112.23076923077
OC0,54,31546.076923076922
OC0,55,31871.46153846154
OC0,56,32305.30769230769
OC0,57,32847.61538461538
OC0,58,33281.46153846154
OC0,59,33715.307692307695
OC0,60,34149.153846153844
OC0,61,34583
OC0,62,34975.78431372549
OC0,63,35466.76470588235
OC0,64,35859.549019607846
OC0,65,36350.529411764706
OC0,66,36841.509803921566
OC0,67,37332.490196078434
OC0,68,37921.666666666664
OC0,69,38510.8431372549
OC0,70,39001.82352941176
OC0,71,39591
OC0,72,40149.97297297297
OC0,73,40802.10810810811
OC0,74,41361.08108108108
OC0,75,42013.21621621621
OC0,76,42758.51351351351
OC0,77,43410.64864864865
OC0,78,44155.94594594595
OC0,79,44901.24324324324
OC0,80,45739.7027027027
OC0,81,46485
OC0,82,47544.19117647059
OC0,83,48603.382352941175
OC0,84,49556.654411764706
OC0,85,50404.007352941175
OC0,86,51675.03676470588
OC0,87,53051.98529411765
OC0,88,54746.69117647059
OC0,89,56653.23529411765
OC0,90,58559.779411764706
OC0,91,60890
OC11,11,22764
OC11,12,23366.636363636364
OC11,13,23969.272727272728
OC11,14,24571.909090909092
OC11,15,25475.863636363636
OC11,16,26078.5
OC11,17,26681.136363636364
OC11,18,27585.090909090908
OC11,19,28187.727272727272
OC11,20,28790.363636363636
OC11,21,29393
OC11,22,30162.434782608696
OC11,23,30675.391304347824
OC11,24,31188.347826086956
OC11,25,31701.304347826088
OC11,26,32470.739130434784
